catalogNumber;basisOfRecord;decimalLatitude;decimalLongitude;Class;order;family;genus;specificEpithet;infraspecificEpithet;nameAcordingTo;verbatimTaxonRank;taxonRank;acceptedNameUsage;;;establishmentMeans;;;locationRemarks;sex
AA0001;LivingSpecimen;348663;6284356;Liliopsida;Asparagales;Asparagaceae;Agave;americana;;L.;;;Agave americana L.;ACCEPTED;Viva;Exotica;2019;;;
AA0002;;348674;6284351;Pinopsida;Pinales;Araucariaceae;Araucaria;bidwillii;;Hook.;;;Araucaria bidwillii Hook.;ACCEPTED;Viva;Exotica;2019;;;
AA0003;;348663;6284341;Pinopsida;Pinales;Araucariaceae;Araucaria;heterophylla;;Franco;;;Araucaria heterophylla (Salisb.) Franco;ACCEPTED;Viva;Exotica;2019;;;
AA0004;;348660;6284330;Pinopsida;Pinales;Araucariaceae;Araucaria;bidwillii;;Hook.;;;Araucaria bidwillii Hook.;ACCEPTED;Viva;Exotica;2019;;;
AA0005;;348660;6284325;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0006;;348657;6284318;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0007;;348657;6284314;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0008;;348656;6284309;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0009;;348656;6284303;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0010;;348655;6284299;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0011;;348655;6284294;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0012;;348654;6284288;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0013;;348653;6284284;Magnoliopsida;Sapindales;Sapindaceae;Aesculus;hippocastanum;;L.;;;Aesculus hippocastanum L.;ACCEPTED;Viva;Exotica;2019;;;
AA0014;;348679;6284293;Pinopsida;Pinales;Cupressaceae;Cupressus;macrocarpa;;Hartw. ex Gordon;;;Cupressus macrocarpa Hartw. ex Gordon;ACCEPTED;Viva;Exotica;2019;;;
AA0015;;348680;6284286;Pinopsida;Pinales;Cupressaceae;Cupressus;sempervirens;;L.;;;Cupressus sempervirens L.;ACCEPTED;Viva;Exotica;2019;;;
AA0016;;348680;6284280;Pinopsida;Pinales;Cupressaceae;Cupressus;sempervirens;;L.;;;Cupressus sempervirens L.;ACCEPTED;Viva;Exotica;2019;;;
AA0017;;348681;6284274;Pinopsida;Pinales;Cupressaceae;Cupressus;sempervirens;;L.;;;Cupressus sempervirens L.;ACCEPTED;Viva;Exotica;2019;;;
AA0018;;348667;6284266;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0019;;348682;6284262;Pinopsida;Pinales;Cupressaceae;Cupressus;sempervirens;;L.;;;Cupressus sempervirens L.;ACCEPTED;Viva;Exotica;2019;;;
AA0020;;348684;6284239;Pinopsida;Pinales;Cupressaceae;Cupressus;sempervirens;;L.;;;Cupressus sempervirens L.;ACCEPTED;Extraido;Exotica;2019;;;
AA0021;;348668;6284253;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0022;;348664;6284245;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0023;;348668;6284243;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0024;;348667;6284238;Magnoliopsida;Sapindales;Sapindaceae;Acer;pseudoplatanus;;L.;;;Acer pseudoplatanus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0025;;348664;6284238;Magnoliopsida;Saxifragales;Altingiaceae;Liquidambar;styraciflua;;L.;;;Liquidambar styraciflua L.;ACCEPTED;Viva;Exotica;2019;;;
AA0026;;348660;6284241;Pinopsida;Pinales;Cupressaceae;Cupressus;macrocarpa;;Hartw. ex Gordon;;;Cupressus macrocarpa Hartw. ex Gordon;ACCEPTED;Viva;Exotica;2019;;;
AA0027;;348667;6284231;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0028;;348656;6284236;Magnoliopsida;Rosales;Rosaceae;Sorbus;;;L.;sp.;genus;Sorbus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0029;;348654;6284234;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0030;;348655;6284227;Magnoliopsida;Caryophyllales;Phytolaccaceae;Phytolacca;dioica;;L.;;;Phytolacca dioica L.;ACCEPTED;Viva;Exotica;2019;;;
AA0031;;348663;6284224;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0032;;348663;6284227;Magnoliopsida;Malvales;Malvaceae;Brachychiton;populneus;;R.Br.;;;Brachychiton populneus (Schott & Endl.) R.Br.;ACCEPTED;Viva;Exotica;2019;;;
AA0033;;348666;6284225;Magnoliopsida;Fabales;Fabaceae;Robinia;pseudoacacia;;L.;;;Robinia pseudoacacia L.;ACCEPTED;Viva;Exotica;2019;;;
AA0034;;348677;6284221;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0035;;348682;6284221;Magnoliopsida;Caryophyllales;Tamaricaceae;Tamarix;;;L.;;;Tamarix L.;ACCEPTED;Viva;Exotica;2019;;;
AA0036;;348688;6284218;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;excelsior;;L.;;;Fraxinus excelsior L.;ACCEPTED;Viva;Exotica;2019;;;
AA0037;;348684;6284217;Magnoliopsida;Caryophyllales;Tamaricaceae;Tamarix;;;L.;;;Tamarix L.;ACCEPTED;Viva;Exotica;2019;;;
AA0038;;348681;6284216;Magnoliopsida;Caryophyllales;Tamaricaceae;Tamarix;;;L.;;;Tamarix L.;ACCEPTED;Viva;Exotica;2019;;;
AA0039;;348676;6284217;Magnoliopsida;Caryophyllales;Tamaricaceae;Tamarix;;;L.;;;Tamarix L.;ACCEPTED;Viva;Exotica;2019;;;
AA0040;;348680;6284210;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Nativa;2019;;;
AA0041;;348682;6284205;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;ornus;;L.;;;Fraxinus ornus L.;ACCEPTED;Viva;Exotica;2019;;;
AA0042;;348680;6284198;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;molle;;L.;;;Schinus molle L.;ACCEPTED;Viva;Exotica;2019;;;
