catalogNumber,catalogNumber,basisOfRecord,decimalLatitude,decimalLongitude,phylum,Class,order,family,genus,specificEpithet,infraspecificEpithet,nameAcordingTo,verbatimTaxonRank,taxonRank,acceptedNameUsage,Nombre común,Estado,establishmentMeans,ingreso,plantacion,sex
AA0001,AA0001,LivingSpecimen,348663,6284356,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,americana,,L.,,species,Agave americana L.,Agave,Viva,Exótica,2019,,
AA0002,AA0002,LivingSpecimen,348674,6284351,Tracheophyta,Pinopsida,Cupressales,Araucariaceae,Araucaria,bidwillii,,Hook.,,species,Araucaria bidwillii Hook.,Araucaria australiana,Viva,Exótica,2019,,
AA0003,AA0003,LivingSpecimen,348663,6284341,Tracheophyta,Pinopsida,Cupressales,Araucariaceae,Araucaria,heterophylla,,Franco,,species,Araucaria heterophylla Franco,Pino de Norfolk,Viva,Exótica,2019,,
AA0004,AA0004,LivingSpecimen,348660,6284330,Tracheophyta,Pinopsida,Cupressales,Araucariaceae,Araucaria,bidwillii,,Hook.,,species,Araucaria bidwillii Hook.,Araucaria australiana,Viva,Exótica,2019,,
AA0005,AA0005,LivingSpecimen,348660,6284325,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0006,AA0006,LivingSpecimen,348657,6284318,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0007,AA0007,LivingSpecimen,348657,6284314,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0008,AA0008,LivingSpecimen,348656,6284309,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0009,AA0009,LivingSpecimen,348656,6284303,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0010,AA0010,LivingSpecimen,348655,6284299,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0011,AA0011,LivingSpecimen,348655,6284294,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0012,AA0012,LivingSpecimen,348654,6284288,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0013,AA0013,LivingSpecimen,348653,6284284,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,hippocastanum,,L.,,species,Aesculus hippocastanum L.,Castaño de Indias,Viva,Exótica,2019,,hermaphrodite
AA0014,AA0014,LivingSpecimen,348679,6284293,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,macrocarpa,,Hartw. ex Gordon,,species,Cupressus macrocarpa Hartw. ex Gordon,Ciprés de Monterrey,Viva,Exótica,2019,,
AA0015,AA0015,LivingSpecimen,348680,6284286,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,sempervirens,,L.,,species,Cupressus sempervirens L.,Ciprés común,Viva,Exótica,2019,,
AA0016,AA0016,LivingSpecimen,348680,6284280,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,sempervirens,,L.,,species,Cupressus sempervirens L.,Ciprés común,Viva,Exótica,2019,,
AA0017,AA0017,LivingSpecimen,348681,6284274,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,sempervirens,,L.,,species,Cupressus sempervirens L.,Ciprés común,Viva,Exótica,2019,,
AA0018,AA0018,LivingSpecimen,348667,6284266,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,Arce blanco,Viva,Exótica,2019,,hermaphrodite
AA0019,AA0019,LivingSpecimen,348682,6284262,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,sempervirens,,L.,,species,Cupressus sempervirens L.,Ciprés común,Viva,Exótica,2019,,
AA0020,AA0020,LivingSpecimen,348684,6284239,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,sempervirens,,L.,,species,Cupressus sempervirens L.,Ciprés común,Extraído,Exótica,2019,,
AA0021,AA0021,LivingSpecimen,348668,6284253,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,Arce blanco,Viva,Exótica,2019,,hermaphrodite
AA0022,AA0022,LivingSpecimen,348664,6284245,Tracheophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,styraciflua,,L.,,species,Liquidambar styraciflua L.,Liquidambar,Viva,Exótica,2019,,hermaphrodite
AA0023,AA0023,LivingSpecimen,348668,6284243,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0024,AA0024,LivingSpecimen,348667,6284238,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,pseudoplatanus,,L.,,species,Acer pseudoplatanus L.,Arce blanco,Viva,Exótica,2019,,hermaphrodite
AA0025,AA0025,LivingSpecimen,348664,6284238,Tracheophyta,Magnoliopsida,Saxifragales,Altingiaceae,Liquidambar,styraciflua,,L.,,species,Liquidambar styraciflua L.,Liquidambar,Viva,Exótica,2019,,hermaphrodite
AA0026,AA0026,LivingSpecimen,348660,6284241,Tracheophyta,Pinopsida,Cupressales,Cupressaceae,Cupressus,macrocarpa,,Hartw. ex Gordon,,species,Cupressus macrocarpa Hartw. ex Gordon,Ciprés de Monterrey,Viva,Exótica,2019,,
AA0027,AA0027,LivingSpecimen,348667,6284231,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0028,AA0028,LivingSpecimen,348656,6284236,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,,,L.,sp.,genus,Sorbus  L.,Serbal,Viva,Exótica,2019,,
AA0029,AA0029,LivingSpecimen,348654,6284234,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0030,AA0030,LivingSpecimen,348655,6284227,Tracheophyta,Magnoliopsida,Caryophyllales,Phytolaccaceae,Phytolacca,dioica,,L.,,species,Phytolacca dioica L.,Ombú,Viva,Exótica,2019,,
AA0031,AA0031,LivingSpecimen,348663,6284224,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,Braquiquito,Viva,Exótica,2019,,hermaphrodite
AA0032,AA0032,LivingSpecimen,348663,6284227,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,Braquiquito,Viva,Exótica,2019,,hermaphrodite
AA0033,AA0033,LivingSpecimen,348666,6284225,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Robinia,pseudoacacia,,L.,,species,Robinia pseudoacacia L.,Falsa acacia,Viva,Exótica,2019,,hermaphrodite
AA0034,AA0034,LivingSpecimen,348677,6284221,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0035,AA0035,LivingSpecimen,348682,6284221,Tracheophyta,Magnoliopsida,Caryophyllales,Tamaricaceae,Tamarix,,,L.,sp.,genus,Tamarix  L.,Tamarisco,Viva,Exótica,2019,,
AA0036,AA0036,LivingSpecimen,348688,6284218,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0037,AA0037,LivingSpecimen,348684,6284217,Tracheophyta,Magnoliopsida,Caryophyllales,Tamaricaceae,Tamarix,,,L.,sp.,genus,Tamarix  L.,Tamarisco,Viva,Exótica,2019,,
AA0038,AA0038,LivingSpecimen,348681,6284216,Tracheophyta,Magnoliopsida,Caryophyllales,Tamaricaceae,Tamarix,,,L.,sp.,genus,Tamarix  L.,Tamarisco,Viva,Exótica,2019,,
AA0039,AA0039,LivingSpecimen,348676,6284217,Tracheophyta,Magnoliopsida,Caryophyllales,Tamaricaceae,Tamarix,,,L.,sp.,genus,Tamarix  L.,Tamarisco,Viva,Exótica,2019,,
AA0040,AA0040,LivingSpecimen,348680,6284210,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,Pimiento,Viva,Nativa,2019,,hermaphrodite
AA0041,AA0041,LivingSpecimen,348682,6284205,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0042,AA0042,LivingSpecimen,348680,6284198,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,Pimiento,Viva,Exótica,2019,,hermaphrodite
AA0043,AA0043,LivingSpecimen,348674,6284201,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Gleditsia,triacanthos,,L.,,species,Gleditsia triacanthos L.,Acacia de tres espinas,Viva,Exótica,2019,,hermaphrodite
AA0044,AA0044,LivingSpecimen,348678,6284194,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,Pimiento,Viva,Nativa,2019,,hermaphrodite
AA0045,AA0045,LivingSpecimen,348684,6284187,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,aculeata,,L.,,species,Parkinsonia aculeata L.,Palo verde,Viva,Exótica,2019,,hermaphrodite
AA0046,AA0046,LivingSpecimen,348677,6284189,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus,molle,,L.,,species,Schinus molle L.,Pimiento,Viva,Nativa,2019,,hermaphrodite
AA0047,AA0047,LivingSpecimen,348672,6284191,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,aculeata,,L.,,species,Parkinsonia aculeata L.,Palo verde,Viva,Exótica,2019,,hermaphrodite
AA0048,AA0048,LivingSpecimen,348665,6284217,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,Arbol del paraíso,Viva,Exótica,2019,,hermaphrodite
AA0049,AA0049,LivingSpecimen,348662,6284220,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,Braquiquito,Viva,Exótica,2019,,hermaphrodite
AA0050,AA0050,LivingSpecimen,348660,6284215,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dealbata,,Link,,species,Acacia dealbata Link,Aromo,Viva,Exótica,2019,,hermaphrodite
AA0051,AA0051,LivingSpecimen,348660,6284211,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,Braquiquito,Viva,Exótica,2019,,hermaphrodite
AA0052,AA0052,LivingSpecimen,348661,6284205,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,R.Br.,,species,Brachychiton populneus R.Br.,Braquiquito,Viva,Exótica,2019,,hermaphrodite
AA0053,AA0053,LivingSpecimen,348664,6284207,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,excelsior,,L.,,species,Fraxinus excelsior L.,Fresno,Viva,Exótica,2019,,hermaphrodite
AA0054,AA0054,LivingSpecimen,348659,6284200,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dealbata,,Link,,species,Acacia dealbata Link,Aromo,Viva,Exótica,2019,,hermaphrodite
AA0055,AA0055,LivingSpecimen,348658,6284192,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,Arbol del paraíso,Viva,Exótica,2019,,hermaphrodite
AA0056,AA0056,LivingSpecimen,348654,6284188,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,globulus,,Labill.,,species,Eucalyptus globulus Labill.,Eucalipto,Extraído,Exótica,2019,,hermaphrodite
AA0057,AA0057,LivingSpecimen,348654,6284192,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,Arbol del paraíso,Viva,Exótica,2019,,hermaphrodite
AA0058,AA0058,LivingSpecimen,348649,6284189,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,globulus,,Labill.,,species,Eucalyptus globulus Labill.,,Extraído,Exótica,2019,,hermaphrodite
AA0059,AA0059,LivingSpecimen,348650,6284193,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0060,AA0060,LivingSpecimen,348645,6284194,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0061,AA0061,LivingSpecimen,348642,6284194,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,azedarach,,L.,,species,Melia azedarach L.,,Viva,Exótica,2019,,hermaphrodite
AA0062,AA0062,LivingSpecimen,348645,6284190,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0063,AA0063,LivingSpecimen,348642,6284190,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,ornus,,L.,,species,Fraxinus ornus L.,,Viva,Exótica,2019,,hermaphrodite
AA0064,AA0064,LivingSpecimen,348638,6284195,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
AA0065,AA0065,LivingSpecimen,348635,6284195,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,,,L.,sp.,genus,Ulmus  L.,,Viva,Exótica,2019,,hermaphrodite
